Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,Analysis 
485,mipsparc 2008.06.23,1009,12,6,242,182,33,-149,Level A
430,lacceroswaldo 2008.06.23,986,12,6,236,171,37,-134,Level A
795,Hurricaine 2008.12.04,985,7,4,135,259,24,-235,Level A
753,PauloZanol 2008.12.04,870,6,3,132,252,30,-222,Level A
480,lacceroswaldo 2008.08.11,985,5,1.5,120,177,29,-148,Level A
160,MCalkins 2008.10.10,991,3,2,119,103,43,-60,Level A
189,huzar 2008.10.10,954,3,1,118,105,36,-69,Level A
322,mipsparc 2008.08.11,1006,5,3.5,117,140,34,-106,Level A
454,mipsparc 2008.09.21,1037,3,1,104,181,40,-141,Level A
142,thebrickwall 2008.01.02,970,2,2,97,102,52,-50,Level C
286,ChrisBeginner 2008.09.15,830,3,1.5,95,137,41,-96,Level A
556,calexander 2008.12.21,853,4,0,95,193,25,-168,Level A
434,lacceroswaldo 2008.09.21,957,3,2,92,164,29,-135,Level A
532,vetteboy 2008.10.15,881,2,1,85,188,26,-162,Level A
421,calexander 2008.12.23,780,7,5,83,155,25,-130,Level A
579,simmito 2008.03.11,990,3,1,83,202,28,-174,Level A
204,lynnyx 2008.04.21,923,3,2.5,81,118,43,-75,Level B
380,MohanGH 2008.10.15,1069,2,1,80,153,33,-120,Level A
158,mjcsjo 2008.09.15,1139,2,1.5,78,92,33,-59,Level A
225,calexander 2008.12.20,820,2,1,78,120,38,-82,Level B
441,lacceroswaldo 2008.12.22,966,3,1,78,180,42,-138,Level A
503,achieve 2008.03.11,1008,3,2,78,184,30,-154,Level A
323,mipsparc 2008.12.22,1031,3,2,77,135,29,-106,Level A
515,mipsparc 2008.08.24,1044,5,3,76,189,32,-157,Level A
549,lacceroswaldo 2008.08.24,941,5,2,76,196,29,-167,Level A
192,huzar 2008.10.08,985,2,1,73,107,36,-71,Level A
462,mipsparc 2008.09.03,1017,4,2.5,73,180,37,-143,Level A
289,MalcaReborn 2008.07.25,867,2,0.5,72,125,29,-96,Level A
375,lacceroswaldo 2008.09.03,980,4,1.5,70,153,34,-119,Level A
309,Jackiw 2008.09.20,1090,2,1,69,141,38,-103,Level A
585,EndlessWC 2008.10.12,1007,2,2,69,201,26,-175,Level A
760,jasonsonly 2008.11.28,947,3,0.5,69,252,28,-224,Level A
266,ChrisBeginner 2008.09.20,909,2,1,66,135,44,-91,Level A
540,mipsparc 2008.10.04,1044,4,3,66,198,33,-165,Level A
740,lacceroswaldo 2008.10.04,950,4,1,66,243,26,-217,Level A
751,simmito 2008.04.01,895,4,1,66,248,27,-221,Level A
283,tabbykt 2008.11.25,1036,2,1.5,65,123,28,-95,Level A
191,lacceroswaldo 2008.10.08,933,1,1,64,109,38,-71,Level A
364,jasonsonly 2008.11.25,869,2,0.5,64,150,33,-117,Level A
543,achieve 2008.04.01,1064,4,3,64,205,39,-166,Level A
554,lacceroswaldo 2008.09.02,983,5,2,64,198,30,-168,Level A
840,SchwarzeKatze 2008.10.27,835,2,1,64,276,27,-249,Level A
842,wontonguy 2008.08.05,1112,1,1,64,269,19,-250,Level A
680,lbwest 2008.08.05,865,1,0,63,225,29,-196,Level A
449,DEDEE 2008.07.25,1111,1,0.5,62,168,29,-139,Level A
495,DHamm 2008.02.19,1012,2,0,62,177,26,-151,Level A
642,mipsparc 2008.09.02,1014,5,3,61,209,21,-188,Level A
229,nelb 2008.02.19,959,2,2,60,110,27,-83,Level A
628,johnsacko 2008.03.24,971,4,2,60,206,20,-186,Level A
212,oldchessbook 2008.12.20,1088,1,1,59,123,46,-77,Level B
288,nnoah 2008.11.28,1029,3,2.5,58,129,33,-96,Level A
418,paato 2008.04.13,910,3,2,58,164,34,-130,Level A
615,johnsacko 2008.02.21,904,5,1,58,217,34,-183,Level B
619,lacceroswaldo 2008.06.16,964,4,2.5,58,213,29,-184,Level A
854,nicksun 2008.11.16,853,2,0,58,286,31,-255,Level A
722,mipsparc 2008.06.16,1019,4,1.5,55,242,31,-211,Level A
778,lacceroswaldo 2008.10.07,942,3,0.5,55,269,38,-231,Level A
588,mipsparc 2008.10.28,1047,3,0,54,217,41,-176,Level A
878,bandicot 2008.05.27,928,2,0,54,298,30,-268,Level A
906,lacceroswaldo 2008.08.18,972,3,0,54,315,24,-291,Level A
342,vetteboy 2008.10.12,871,1,0,53,138,26,-112,Level A
372,uberkind 2008.03.24,977,3,3,53,146,28,-118,Level A
530,lacceroswaldo 2008.10.28,932,3,3,53,196,34,-162,Level A
728,thebrickwall 2008.01.09,978,7,2.5,53,241,28,-213,Level A
329,louiswei 2008.01.09,1008,2,0,52,144,35,-109,Level A
332,Birgie 2008.10.23,917,2,0,52,141,31,-110,Level A
544,Simplicus 2008.10.27,1102,2,1,52,199,33,-166,Level A
591,jhnd 2008.03.21,769,2,0,52,207,31,-176,Level A
693,paperchasdvincent 2008.01.01,964,2,1.5,52,229,29,-200,Level A
810,lacceroswaldo 2008.08.12,973,3,0,52,259,21,-238,Level A
812,mipsparc 2008.10.07,1052,3,2.5,52,270,31,-239,Level A
50,noncsi 2008.12.27,1008,1,0.5,51,44,33,-11,Level D
298,Temppeliaukio 2008.03.30,941,4,1,51,125,26,-99,Level A
482,Caledonian 2008.01.29,853,1,0,51,162,14,-148,Level A
42,zaruda 2008.12.27,976,1,0.5,50,18,16,-2,Level D
136,bangs 2008.04.12,1103,1,0.5,50,92,44,-48,Level A
194,TheTrooper 2008.04.12,888,1,0.5,50,108,36,-72,Level A
294,JBChessPontchat 2008.01.29,1006,1,1,50,128,30,-98,Level A
369,DEDEE 2008.03.21,1074,2,2,50,152,34,-118,Level A
597,tfrio 2008.05.12,869,4,1,50,208,30,-178,Level A
110,pedrosc 2008.10.23,991,2,2,49,75,35,-40,Level A
199,dewie 2008.02.16,943,1,0.5,49,106,33,-73,Level A
550,isntheaqt 2008.07.31,869,1,0.5,49,192,25,-167,Level A
640,FollyFrog 2008.02.23,865,2,0.5,49,213,25,-188,Level A
654,lacceroswaldo 2008.08.10,983,5,2.5,49,210,20,-190,Level A
732,LaurentDelaon 2008.05.27,1028,2,2,49,239,24,-215,Level A
210,heychee 2008.02.16,961,1,0.5,48,111,35,-76,Level A
457,simmito 2008.12.20,959,3,1,48,166,25,-141,Level A
613,stabinandmoley 2008.02.01,905,3,0,48,207,25,-182,Level A
261,achieve 2008.12.20,1030,3,2,47,120,30,-90,Level A
357,mipsparc 2008.08.10,1010,5,2.5,47,155,40,-115,Level A
496,WhiteWarrior 2008.10.19,870,2,0,47,168,17,-151,Level A
904,Jayrec 2008.12.15,981,1,0,47,305,17,-288,Level A
438,mipsparc 2008.08.06,1018,2,1,46,172,35,-137,Level A
691,DEDEE 2008.04.21,1038,2,0,46,221,22,-199,Level B
855,jasonsonly 2008.11.20,881,2,0.5,46,274,17,-257,Level A
898,lacceroswaldo 2008.08.20,951,4,1,46,305,22,-283,Level A
318,mipsparc 2008.08.18,1016,3,3,45,145,40,-105,Level A
446,vetteboy 2008.08.06,872,1,0,45,172,33,-139,Level A
814,mipsparc 2008.08.20,1036,4,3,45,269,29,-240,Level A
222,DINOCO 2008.02.11,845,1,0.5,44,112,32,-80,Level A
317,karilo 2008.08.06,1124,1,1,44,138,34,-104,Level A
498,mipsparc 2008.06.18,1007,2,0.5,44,184,32,-152,Level A
516,DaveMiddled 2008.03.15,895,1,0.5,44,190,32,-158,Level A
590,zqnzt 2008.08.01,888,2,0,44,208,32,-176,Level A
61,Bottledwater 2008.02.11,1132,1,0.5,43,54,35,-19,Level A
