Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,Analysis 
515,pinkbunny 2009.08.16,931,15,2,135,269,31,-238,Level A
557,Adolar 2009.08.03,1023,8,3,123,278,24,-254,Level A
593,nathy 2009.08.29,773,10,1.5,114,296,25,-271,Level A
430,nathy 2009.12.26,721,7,1,113,229,29,-200,Level A
522,nathy 2009.12.22,747,5,0.5,101,270,28,-242,Level A
254,ElevatorJoe 2009.08.16,992,12,11,95,171,42,-129,Level B
396,nathy 2009.08.26,731,9,3,95,209,21,-188,Level A
222,hailu 2009.08.22,953,3,1,84,147,33,-114,Level C
54,spiritswords 2009.08.22,970,3,2,82,78,48,-30,Level C
523,nathy 2009.08.30,793,5,0,75,267,25,-242,Level A
244,jumpinggreenfrog 2009.08.24,909,5,3,73,163,37,-126,Level A
507,nathy 2009.12.23,728,4,1,73,249,16,-233,Level A
425,intellow 2009.10.07,899,4,3,72,226,29,-197,Level A
453,zqnzt 2009.09.30,1071,2,2,72,230,19,-211,Level A
331,intellow 2009.09.30,918,2,0,70,187,30,-157,Level A
563,nathy 2009.08.05,742,6,1,70,277,21,-256,Level A
666,nathy 2009.08.28,755,9,2.5,70,343,16,-327,Level A
531,nathy 2009.12.25,736,5,0,68,266,21,-245,Level A
231,stota 2009.09.29,972,2,0,67,152,36,-116,Level B
98,samoancharger 2009.09.29,1024,2,2,66,102,48,-54,Level B
591,kybrai 2009.12.18,799,8,1,63,290,22,-268,Level A
247,ElevatorJoe 2009.08.13,998,2,1,62,163,35,-128,Level B
265,HareBrain 2009.11.21,995,2,1.5,61,168,33,-135,Level A
278,intellow 2009.11.21,966,2,0.5,61,170,31,-139,Level A
303,praxodes 2009.11.20,1124,1,1,61,180,33,-147,Level A
570,nathy 2009.11.09,792,7,1,61,282,23,-259,Level A
645,pinkbunny 2009.08.17,763,6,3,60,329,20,-309,Level A
552,mmjchess 2009.12.04,923,9,2,59,279,27,-252,Level B
342,intellow 2009.10.04,909,2,0,57,173,12,-161,Level A
506,japhet 2009.12.18,1076,8,7,55,262,29,-233,Level A
95,karpovasparov 2009.11.20,836,1,0,54,84,33,-51,Level A
301,samoancharger 2009.08.16,982,6,6,53,182,36,-146,Level A
594,hippyman 2009.12.22,900,4,3,52,294,23,-271,Level A
362,kardsplz 2009.11.08,994,2,0,51,193,24,-169,Level A
255,ANDYTASTIC 2009.08.03,973,4,3,50,162,32,-130,Level A
274,gobemouche 2009.09.11,965,2,1,50,166,28,-138,Level A
289,stota 2009.09.14,971,1,0.5,50,165,24,-141,Level A
560,whowant 2009.08.27,971,5,4,49,288,33,-255,Level A
174,stota 2009.09.17,972,2,1,48,119,25,-94,Level A
184,antharas 2009.11.08,1003,2,2,48,126,29,-97,Level A
305,kkj 2009.09.14,1026,1,0.5,48,175,27,-148,Level A
477,SkyMeadow 2009.10.27,936,4,2,48,241,19,-222,Level A
504,Hazardo 2009.08.19,953,5,1,47,255,23,-232,Level A
318,reframed 2009.08.13,899,2,1,46,190,37,-153,Level A
436,brickell 2009.08.25,883,1,0.5,46,241,37,-204,Level A
659,hippyman 2009.12.07,934,2,0,46,349,26,-323,Level A
283,scoroyale 2009.08.02,925,3,1.5,45,171,31,-140,Level A
559,nathy 2009.08.03,763,5,0.5,45,272,18,-254,Level A
422,lowandbehold 2009.10.07,976,2,2,44,235,39,-196,Level A
293,Nopolis 2009.12.14,888,2,0,43,173,30,-143,Level A
385,Hazardo 2009.09.11,962,1,0,43,208,26,-182,Level A
584,nathy 2009.12.20,750,3,0.5,43,289,23,-266,Level A
401,ktinfl 2009.10.31,848,1,0,42,216,26,-190,Level A
545,gobemouche 2009.10.12,915,2,1,42,273,24,-249,Level A
437,japhet 2009.12.30,1057,4,3,41,236,32,-204,Level A
199,antharas 2009.10.31,987,1,1,40,140,35,-105,Level A
249,OxoCube 2009.10.04,1066,1,1,40,153,25,-128,Level A
323,ElectronTheory 2009.10.10,1160,2,1.5,40,190,35,-155,Level B
335,SkyMeadow 2009.10.28,923,2,1,40,191,33,-158,Level A
439,Bhunt 2009.08.04,1050,1,0.5,40,230,25,-205,Level B
558,EvilQueen 2009.08.13,1024,2,2,40,276,22,-254,Level A
644,nathy 2009.08.07,732,5,1,40,334,25,-309,Level A
36,Kloth 2009.12.26,987,3,3,39,62,54,-8,Level C
295,hautefoxx 2009.10.10,836,2,0.5,39,180,36,-144,Level B
652,tangelo 2009.09.20,849,1,0,39,336,21,-315,Level A
191,DaydreamXXI 2009.08.16,977,2,0,38,124,24,-100,Level A
193,Hazardo 2009.08.04,929,1,0.5,38,146,42,-104,Level B
285,fektija 2009.12.26,1046,2,1,38,164,24,-140,Level A
313,saipanislandboy 2009.10.20,785,3,0,38,175,24,-151,Level A
421,OSZCAR 2009.08.11,1031,1,0.5,38,236,40,-196,Level A
152,andrejas 2009.08.25,1019,1,0.5,37,120,38,-82,Level A
233,pets 2009.12.23,1062,1,1,37,140,22,-118,Level A
248,Fukiyama 2009.12.22,1044,1,0.5,37,160,32,-128,Level A
251,Tyzore 2009.10.28,937,2,0.5,37,147,19,-128,Level A
271,GoGoYubari 2009.08.24,1087,2,2,37,169,32,-137,Level A
415,hippyman 2009.12.18,929,3,0,37,226,32,-194,Level A
561,hippyman 2009.12.21,886,4,2,37,274,19,-255,Level A
56,Hosed 2009.10.28,1031,2,1.5,36,75,44,-31,Level A
308,HareBrain 2009.08.13,846,1,1,36,188,39,-149,Level B
366,azote 2009.08.03,1009,1,1,36,204,33,-171,Level A
389,kybrai 2009.12.30,862,4,1,36,215,31,-184,Level A
418,HareBrain 2009.08.29,869,2,1,36,213,19,-194,Level A
668,TheDancingQueen 2009.08.13,835,4,0,36,336,8,-328,Level A
153,chagf 2009.10.20,1018,3,3,35,116,34,-82,Level A
194,reframed 2009.08.11,909,2,0.5,35,141,37,-104,Level A
196,gobemouche 2009.09.17,972,1,0,35,138,34,-104,Level A
514,Hazardo 2009.08.14,983,1,0,35,272,34,-238,Level A
518,pinkbunny 2009.08.18,851,3,1,35,266,26,-240,Level A
608,nathy 2009.09.19,771,5,2,35,306,26,-280,Level A
634,guisbi 2009.12.07,965,2,1,35,328,29,-299,Level A
106,powerfail 2009.12.16,994,1,1,34,104,47,-57,Level C
240,badstep 2009.08.21,1055,2,1,34,160,35,-125,Level A
440,gobemouche 2009.09.20,1014,1,1,34,226,21,-205,Level A
236,ANDYTASTIC 2009.08.02,973,1,0.5,33,144,24,-120,Level A
380,kybrai 2009.12.17,854,2,0,33,203,24,-179,Level A
382,gobemouche 2009.12.18,995,1,0,33,213,33,-180,Level B
387,pinkbunny 2009.08.23,926,3,0,33,216,33,-183,Level A
524,Bhunt 2009.08.24,1005,3,0.5,33,263,21,-242,Level A
