Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Pia Cramling,2524,9,6.5,233,22,65,43,Level D
2,Tomi Nyback,2579,9,6.5,235,26,61,35,Level D
3,Kaido Kulaots,2533,8,5.5,312,28,62,34,Level D
4,Vasilios Kotronias,2628,9,6.5,468,28,61,33,Level D
5,Radoslaw Wojtaszek,2614,9,6.5,202,31,61,30,Level D
6,Lars Bo Hansen,2576,9,5.5,375,27,57,30,Level D
7,David Berczes,2429,9,6.5,247,30,59,29,Level D
8,Ulf Nyberg,2146,2,1,129,36,63,27,Level D
9,Ivan Farago,2475,9,6,343,28,55,27,Level D
10,Erik Hedman,2396,7,3,268,29,55,26,Level D
11,Slavko Cicak,2574,9,5.5,290,33,56,23,Level D
12,Anders Livner,2281,6,4,229,31,54,23,Level D
13,Sampsa Nyysti,2363,8,4.5,310,33,55,22,Level D
14,Dara Akdag,2083,4,2,131,42,63,21,Level D
15,Sergey Ivanov,2541,10,7.5,363,34,55,21,Level D
16,Juan Manuel Bellon Lopez,2455,9,5,319,41,60,19,Level D
17,Nils Grandelius,2371,8,5,244,34,53,19,Level D
18,Robert Fontaine,2572,9,6,305,41,59,18,Level D
19,Tomas Karlsson,2249,6,2,180,38,56,18,Level D
20,Tobias Pettersson,2159,1,0,53,37,55,18,Level D
21,Lars Karlsson,2488,7,5,257,36,54,18,Level D
22,Joel Akesson,2344,7,2.5,216,40,57,17,Level D
23,Pontus Carlsson,2501,9,5.5,198,37,54,17,Level D
24,Kjetil Stokke,2372,8,4.5,316,36,53,17,Level D
25,Emanuel Berg,2583,9,6,286,39,54,15,Level D
26,Ilja Vovk,2295,3,1,154,39,54,15,Level D
27,Anton Frisk Kockum,2206,6,1.5,259,38,53,15,Level D
28,Evgenij Agrest,2535,9,6.5,223,37,52,15,Level D
29,Csaba Berczes,2420,9,5,305,36,51,15,Level D
30,Love Janse,2127,1,0,30,35,50,15,Level D
31,Bengt Lindberg,2439,9,6.5,277,37,51,14,Level D
32,Mikko Niemi,2178,9,4,301,37,51,14,Level D
33,Anders Larsson,2257,8,4.5,218,36,50,14,Level D
34,Victor Nithander,2339,8,4,318,36,49,13,Level D
35,Josef Ask,2235,6,3.5,192,44,56,12,Level D
36,Johan Henriksson,2197,7,3,298,41,53,12,Level D
37,Simon Hanninger,2129,2,0.5,68,38,49,11,Level D
38,Thomas Ernst,2448,9,5,268,44,54,10,Level D
39,Axel Smith,2458,8,5,283,41,51,10,Level D
40,Arto Satonen,2215,1,0,35,45,54,9,Level D
41,Olli Sisatto,2285,6,1.5,264,45,53,8,Level D
42,Jasmin Bejtovic,2353,7,3,252,42,50,8,Level D
43,Olga Stjazhkina,2325,5,1.5,190,42,50,8,Level D
44,Ralf Akesson,2470,9,4.5,321,46,53,7,Level D
45,Rasmus Holving,2210,7,1.5,282,44,51,7,Level D
46,Tiger Hillarp Persson,2535,9,5,314,41,48,7,Level D
47,Tommi Luukkonen,2244,8,3,303,49,55,6,Level D
48,Eva Jiretorn,2122,7,3.5,262,49,53,4,Level D
49,Tamas Ruck,2343,8,3.5,337,46,50,4,Level D
50,Radmilo Dimitrijevic,2093,8,4,266,46,50,4,Level D
51,Johan Furhoff,2392,9,5.5,300,52,53,1,Level D
52,Henrik Lindberg,2254,5,1.5,143,51,52,1,Level D
53,Viktoria Johansson,2203,1,0,35,41,40,-1,Level D
54,Krisztian Szabo,2500,8,5,351,52,50,-2,Level D
55,Christopher Lissang,2080,2,0.5,65,58,55,-3,Level D
56,Erik Blomqvist,2302,8,4,175,56,53,-3,Level D
57,Mikael Naslund,2310,4,1,149,55,51,-4,Level D
58,Bo Adler,2208,3,0,69,55,49,-6,Level D
59,Per Soderberg,2205,2,0,84,56,49,-7,Level D
60,Evgenia Hansen,2159,2,0,87,59,49,-10,Level D
61,Kent Angskog,2271,4,1,112,64,52,-12,Level D
62,Michael Mattsson,2048,1,0,29,61,48,-13,Level D
63,Amir Tadjerbashi,2184,1,0,32,54,38,-16,Level D
64,Erno Dede,2275,5,1.5,139,65,48,-17,Level D
65,Thomas Marttala,2253,3,0.5,116,60,41,-19,Level D
66,Jorgen Eriksson,2238,3,0,124,58,39,-19,Level D
67,Mikael Aroven,2201,3,1,113,67,46,-21,Level D
68,Nikita Meskovs,2124,7,3.5,207,69,44,-25,Level D
69,Christian Hess,2281,2,0,69,72,46,-26,Level D
70,Inna Agrest,2121,1,0,30,97,63,-34,Level D
71,Fredrik Andersson,2229,6,1.5,106,76,42,-34,Level D
72,Lennart Evertsson,2198,3,0,107,77,41,-36,Level D
73,Santul Kosmo,2262,1,0,20,69,30,-39,Level D
74,Carlo Marzano,2213,2,0,59,86,44,-42,Level D
75,Torbjorn Glimbrant,2275,1,0,27,80,37,-43,Level D
76,David Nygren,2158,1,0,25,84,36,-48,Level D
77,Michael B. Madsen,2011,1,0,8,103,50,-53,Level D
78,Michael De Verdier,2147,2,0,51,100,43,-57,Level D
79,Ellinor Frisk,2109,1,0,50,112,36,-76,Level D
80,Lucas Wickstrom,2115,1,0,18,125,39,-86,Level D
