Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Alexander Morozevich,2758,10,5,394,25,65,40,Level D
2,Vadim Zvjaginsev,2654,9,5.5,167,25,64,39,Level D
3,Pavel Smirnov,2601,9,6,364,25,62,37,Level D
4,Valerij Popov,2547,9,5.5,313,26,62,36,Level D
5,Alexey Kuzmin,2567,9,4,293,27,62,35,Level D
6,Garry Kasparov,2813,10,7.5,411,27,62,35,Level D
7,Alexander Motylev,2651,18,11,788,25,59,34,Level D
8,Peter Svidler,2735,10,5,340,28,60,32,Level D
9,Sergei Rublevsky,2671,9,5,263,28,60,32,Level D
10,Alexey Dreev,2698,18,11.5,523,27,59,32,Level D
11,Dmitry Jakovenko,2582,8,5.5,286,31,62,31,Level D
12,Alexander Galkin,2602,8,4,194,29,60,31,Level D
13,Artyom Timofeev,2611,19,10.5,607,28,59,31,Level D
14,Pavel V. Tregubov,2636,9,5,310,28,59,31,Level D
15,Maxim Sorokin,2554,9,5,352,27,58,31,Level D
16,Evgeny Shaposhnikov,2559,9,4.5,280,30,60,30,Level D
17,Pavel Maletin,2423,9,4.5,255,28,58,30,Level D
18,Konstantin Sakaev,2665,9,5.5,291,27,57,30,Level D
19,Andrei Belozerov,2552,9,5,357,25,55,30,Level D
20,Evgenija Ovod,2386,11,7,492,29,58,29,Level D
21,Andrei Kharlov,2593,9,5,230,28,57,29,Level D
22,Andrey Shariyazdanov,2575,9,4.5,267,28,57,29,Level D
23,Sergei Yudin,2425,9,4,237,30,58,28,Level D
24,Vladimir Kosyrev,2529,9,5,148,28,56,28,Level D
25,Valery A Loginov,2516,9,4,387,31,58,27,Level D
26,Evgeny Bareev,2715,10,5,319,30,57,27,Level D
27,Igor Yagupov,2441,9,4,344,32,58,26,Level D
28,Mikhail Ulibin,2579,9,4,424,29,55,26,Level D
29,Alexander Rustemov,2593,9,5.5,325,28,54,26,Level D
30,Alexander Lastin,2622,8,4,218,34,59,25,Level D
31,Oleg Loskutov,2433,9,2.5,310,34,59,25,Level D
32,Vladimir Belov,2543,9,4.5,293,30,55,25,Level D
33,Vladimir Burmakin,2571,9,4,363,35,59,24,Level D
34,Ildar Khairullin,2481,9,4,276,35,59,24,Level D
35,Ernesto Inarkiev,2595,9,6,309,31,55,24,Level D
36,Vladimir Epishin,2599,19,10.5,650,30,54,24,Level D
37,Evgenij Gajsin,2404,9,4.5,306,36,59,23,Level D
38,Oleg Nikolenko,2520,9,4.5,305,33,56,23,Level D
39,Vitaly Tseshkovsky,2577,19,8.5,731,33,56,23,Level D
40,Igor Kurnosov,2543,9,4,359,33,56,23,Level D
41,Alexei Kornev,2582,9,4,335,33,56,23,Level D
42,Konstantin Landa,2550,9,5,209,32,55,23,Level D
43,Tatiana Kosintseva,2492,10,6.5,401,34,56,22,Level D
44,Dmitry Andreikin,2418,9,5,224,32,54,22,Level D
45,Tatiana Shadrina,2379,11,5.5,498,34,55,21,Level D
46,Alexander Riazantsev,2556,9,5.5,375,32,53,21,Level D
47,Yuri Yakovich,2596,9,5,251,31,52,21,Level D
48,Natalija Pogonina,2462,11,6,517,37,57,20,Level D
49,Nadezhda Kosintseva,2469,10,5.5,495,34,54,20,Level C
50,Olga Girya,2338,11,4,460,37,56,19,Level D
51,Ruslan Shcherbakov,2564,9,4,241,36,55,19,Level D
52,Ekaterina Korbut,2443,11,7,476,35,54,19,Level C
53,Evgeny Romanov,2392,9,5,214,34,53,19,Level D
54,Sergey I. Solovjov,2458,9,3.5,364,40,58,18,Level D
55,Semen I. Dvoirys,2612,9,5,264,36,54,18,Level D
56,Denis Yevseev,2580,9,4.5,237,36,54,18,Level C
57,Sergey Ivanov,2546,8,5,286,33,51,18,Level C
58,Alexander Khalifman,2668,9,5.5,205,35,52,17,Level C
59,Valerij Filippov,2639,9,5,289,35,52,17,Level D
60,Ian Nepomniachtchi,2445,9,4,336,38,54,16,Level D
