Name,Rating,Games,Result,Moves,CPL,MM,Sort Score,Analysis
mariusmattheus 2009.08.12,1111,3,3,25,76,40,-36,A
mariusmattheus 2009.08.12,1111,3,3,25,94,44,-50,B
Loran 2009.08.12,774,3,0,27,250,19,-231,A
Loran 2009.08.12,774,3,0,27,227,15,-212,B
nathy 2009.08.11,746,3,1,29,377,17,-360,A
nathy 2009.08.11,746,3,1,29,366,14,-352,B
Booyens 2009.08.11,927,1,1,5,114,80,-34,A
Booyens 2009.08.11,927,1,1,5,121,80,-41,B
nathy 2009.12.25,736,4,0,64,267,22,-245,A
nathy 2009.12.25,736,4,0,64,256,17,-239,B
Sokka 2009.12.25,1062,1,1,23,180,30,-150,A
Sokka 2009.12.25,1062,1,1,23,182,26,-156,B
powerfail 2009.12.28,1009,1,1,8,173,25,-148,A
powerfail 2009.12.28,1009,1,1,8,153,25,-128,B
nathy 2009.12.28,722,1,0,8,283,38,-245,A
nathy 2009.12.28,722,1,0,8,269,25,-244,B
OSZCAR 2009.08.07,1003,1,1,6,108,17,-91,A
OSZCAR 2009.08.07,1003,1,1,6,88,17,-71,B
nathy 2009.08.07,732,4,0,37,361,27,-334,A
nathy 2009.08.07,732,4,0,37,404,19,-385,B
nathy 2009.08.12,736,1,0,11,286,9,-277,A
nathy 2009.08.12,736,1,0,11,203,18,-185,B
getit 2009.08.12,1010,1,1,4,40,75,35,A
getit 2009.08.12,1010,1,1,4,16,75,59,B
reframed 2009.08.11,909,1,0.5,31,122,39,-83,A
reframed 2009.08.11,909,1,0.5,31,113,45,-68,B
OSZCAR 2009.08.11,1031,1,0.5,35,257,43,-214,A
OSZCAR 2009.08.11,1031,1,0.5,35,222,43,-179,B
kybrai 2009.12.27,759,2,1,20,303,30,-273,A
kybrai 2009.12.27,759,2,1,20,342,30,-312,B
japhet 2009.12.27,1087,2,1,17,337,35,-302,A
japhet 2009.12.27,1087,2,1,17,374,29,-345,B
EvilQueen 2009.08.11,958,1,1,15,289,13,-276,A
EvilQueen 2009.08.11,958,1,1,15,297,13,-284,B
TheDancingQueen 2009.08.11,891,1,0,16,321,19,-302,A
TheDancingQueen 2009.08.11,891,1,0,16,302,19,-283,B
nathy 2009.08.09,728,1,0,12,322,33,-289,A
nathy 2009.08.09,728,1,0,12,304,17,-287,B
samoancharger 2009.08.09,1081,1,1,11,274,18,-256,A
samoancharger 2009.08.09,1081,1,1,11,242,18,-224,B
nathy 2009.12.26,721,7,1,111,236,26,-210,A
nathy 2009.12.26,721,7,1,111,233,25,-208,B
fektija 2009.12.26,1046,2,1,36,173,25,-148,A
fektija 2009.12.26,1046,2,1,36,180,22,-158,B
Shurka 2009.10.02,1167,1,1,13,115,46,-69,A
Shurka 2009.10.02,1167,1,1,13,103,54,-49,B
Loran 2009.10.02,752,1,0,16,268,13,-255,A
