Name,Rating,Games,Result,Moves,CPL,MM,Sort Score,Analysis
wilz 2009.01.11,886,1,1,6,116,50,-66,A
wilz 2009.01.11,886,1,1,6,108,50,-58,B
Deadache 2009.01.11,1081,1,0,6,224,33,-191,A
Deadache 2009.01.11,1081,1,0,6,251,33,-218,B
fjjvh 2009.03.27,700,18,0.5,260,266,19,-247,A
fjjvh 2009.03.27,700,18,0.5,260,265,17,-248,B
tigerblue 2009.03.27,1142,18,17.5,220,157,22,-135,A
tigerblue 2009.03.27,1142,18,17.5,220,151,22,-129,B
robertpmntr 2009.03.26,900,2,2,39,186,28,-158,A
robertpmntr 2009.03.26,900,2,2,39,185,31,-154,B
treezen 2009.03.26,1033,2,0,36,119,31,-88,A
treezen 2009.03.26,1033,2,0,36,124,31,-93,B
BMANMILES 2009.03.26,974,1,1,14,197,21,-176,A
BMANMILES 2009.03.26,974,1,1,14,187,14,-173,B
awen 2009.03.26,940,2,1,19,162,32,-130,A
awen 2009.03.26,940,2,1,19,169,26,-143,B
LDopa 2009.01.16,1074,1,0,22,183,36,-147,A
LDopa 2009.01.16,1074,1,0,22,191,32,-159,B
JEFFMHOW 2009.01.16,921,1,1,19,190,37,-153,A
JEFFMHOW 2009.01.16,921,1,1,19,188,42,-146,B
LDopa 2009.01.13,1022,1,1,5,277,20,-257,A
LDopa 2009.01.13,1022,1,1,5,261,40,-221,B
Crashinator 2009.01.13,814,1,0,9,706,0,-706,A
Crashinator 2009.01.13,814,1,0,9,710,0,-710,B
vetteboy 2009.01.03,920,1,1,18,240,22,-218,A
vetteboy 2009.01.03,920,1,1,18,237,28,-209,B
HogSlayer 2009.01.03,923,1,0,17,221,41,-180,A
HogSlayer 2009.01.03,923,1,0,17,211,47,-164,B
JEFFMHOW 2009.01.15,945,2,1,54,135,33,-102,A
JEFFMHOW 2009.01.15,945,2,1,54,135,31,-104,B
ashwinshivani 2009.01.15,940,2,1,52,160,23,-137,A
ashwinshivani 2009.01.15,940,2,1,52,161,21,-140,B
gilandrew 2009.03.27,898,1,0.5,21,194,24,-170,A
gilandrew 2009.03.27,898,1,0.5,21,193,29,-164,B
nicholasjanssen 2009.03.27,988,1,0.5,23,228,26,-202,A
nicholasjanssen 2009.03.27,988,1,0.5,23,230,26,-204,B
FMH 2009.01.11,1115,1,1,11,93,9,-84,A
FMH 2009.01.11,1115,1,1,11,88,18,-70,B
Crashinator 2009.01.11,799,2,1,37,179,22,-157,A
Crashinator 2009.01.11,799,2,1,37,183,19,-164,B
DarthDaviz 2009.03.26,1005,2,1,10,286,30,-256,A
DarthDaviz 2009.03.26,1005,2,1,10,264,40,-224,B
PLUGZ 2009.03.26,988,2,1,9,190,33,-157,A
PLUGZ 2009.03.26,988,2,1,9,161,33,-128,B
paire 2009.03.13,1216,3,2.5,49,262,16,-246,A
paire 2009.03.13,1216,3,2.5,49,250,18,-232,B
fjjvh 2009.03.13,690,3,0.5,55,398,16,-382,A
fjjvh 2009.03.13,690,3,0.5,55,413,16,-397,B
fjjvh 2009.03.10,708,6,0,86,327,19,-308,A
fjjvh 2009.03.10,708,6,0,86,315,17,-298,B
JamesJohnson 2009.03.10,1236,1,1,6,157,17,-140,A
JamesJohnson 2009.03.10,1236,1,1,6,103,17,-86,B
Psao 2009.03.11,954,1,1,7,103,14,-89,A
Psao 2009.03.11,954,1,1,7,100,14,-86,B
Benly 2009.03.11,865,4,1,47,169,32,-137,A
Benly 2009.03.11,865,4,1,47,152,32,-120,B
Uncrowned 2009.02.21,917,1,1,11,178,0,-178,A
Uncrowned 2009.02.21,917,1,1,11,175,9,-166,B
Crashinator 2009.02.21,929,1,0,11,298,18,-280,A
Crashinator 2009.02.21,929,1,0,11,285,9,-276,B
Limzaroth 2009.03.30,791,1,0,10,173,0,-173,A
Limzaroth 2009.03.30,791,1,0,10,145,20,-125,B
thebigmac 2009.03.30,999,1,1,10,108,40,-68,A
thebigmac 2009.03.30,999,1,1,10,93,40,-53,B
jatwfn 2009.03.28,1073,3,3,44,159,30,-129,A
jatwfn 2009.03.28,1073,3,3,44,137,27,-110,B
fjjvh 2009.03.28,680,4,0,88,461,5,-456,A
fjjvh 2009.03.28,680,4,0,88,448,7,-441,B
ktinfl 2009.01.14,921,1,0,13,261,8,-253,A
ktinfl 2009.01.14,921,1,0,13,272,8,-264,B
vetteboy 2009.01.14,956,1,1,13,216,31,-185,A
vetteboy 2009.01.14,956,1,1,13,212,31,-181,B
AureA 2009.03.30,1003,3,1.5,39,163,41,-122,A
AureA 2009.03.30,1003,3,1.5,39,163,41,-122,B
Soilwork 2009.03.30,900,1,0,12,309,8,-301,A
Soilwork 2009.03.30,900,1,0,12,396,8,-388,B
vetteboy 2009.01.13,942,1,1,12,162,42,-120,A
vetteboy 2009.01.13,942,1,1,12,146,50,-96,B
Devekut 2009.01.13,985,1,0,15,475,13,-462,A
Devekut 2009.01.13,985,1,0,15,374,20,-354,B
PABOY 2009.01.04,881,1,1,15,296,20,-276,A
PABOY 2009.01.04,881,1,1,15,280,20,-260,B
mudbog 2009.01.04,1115,1,0,15,379,20,-359,A
