Name,Rating,Games,Result,Moves,CPL,MM,Sort Score,Analysis
Csaba Berczes,2420,9,5.0,305,45,49,4,A
Csaba Berczes,2420,9,5.0,305,37,49,12,C
Csaba Berczes,2420,9,5.0,305,36,51,15,D
Robert Fontaine,2572,9,6,305,47,54,7,A
Robert Fontaine,2572,9,6,305,39,60,21,C
Robert Fontaine,2572,9,6,305,41,59,18,D
Krisztian Szabo,2500,8,5.0,351,61,49,-12,A
Krisztian Szabo,2500,8,5.0,351,51,49,-2,C
Krisztian Szabo,2500,8,5.0,351,52,50,-2,D
Nikita Meskovs,2124,7,3.5,207,66,48,-18,A
Nikita Meskovs,2124,7,3.5,207,69,44,-25,D
Henrik Lindberg,2254,5,1.5,143,54,48,-6,A
Henrik Lindberg,2254,5,1.5,143,51,52,1,D
Radmilo Dimitrijevic,2093,8,4.0,266,46,48,2,A
Radmilo Dimitrijevic,2093,8,4.0,266,47,47,0,B
Radmilo Dimitrijevic,2093,8,4.0,266,45,48,3,C
Radmilo Dimitrijevic,2093,8,4.0,266,46,50,4,D
Evgenij Agrest,2535,9,6.5,223,42,50,8,A
Evgenij Agrest,2535,9,6.5,223,33,53,20,C
Evgenij Agrest,2535,9,6.5,223,37,52,15,D
Emanuel Berg,2583,9,6.0,286,41,55,14,A
Emanuel Berg,2583,9,6.0,286,38,55,17,B
Emanuel Berg,2583,9,6.0,286,39,53,14,C
Emanuel Berg,2583,9,6.0,286,39,54,15,D
Vasilios Kotronias,2628,9,6.5,468,36,57,21,A
Vasilios Kotronias,2628,9,6.5,468,32,59,27,B
Vasilios Kotronias,2628,9,6.5,468,32,59,27,C
Vasilios Kotronias,2628,9,6.5,468,28,61,33,D
Bengt Lindberg,2439,9,6.5,277,44,48,4,A
Bengt Lindberg,2439,9,6.5,277,37,52,15,B
Bengt Lindberg,2439,9,6.5,277,38,51,13,C
Bengt Lindberg,2439,9,6.5,277,37,51,14,D
Dara Akdag,2083,4,2.0,131,48,63,15,A
Dara Akdag,2083,4,2.0,131,42,63,21,D
Kjetil Stokke,2372,8,4.5,316,37,55,18,A
Kjetil Stokke,2372,8,4.5,316,34,56,22,B
Kjetil Stokke,2372,8,4.5,316,38,53,15,C
Kjetil Stokke,2372,8,4.5,316,36,53,17,D
Tommi Luukkonen,2244,8,3.0,303,54,53,-1,A
Tommi Luukkonen,2244,8,3.0,303,46,56,10,B
Tommi Luukkonen,2244,8,3.0,303,48,55,7,C
Tommi Luukkonen,2244,8,3.0,303,49,55,6,D
Jasmin Bejtovic,2353,7,3.0,252,45,50,5,A
Jasmin Bejtovic,2353,7,3.0,252,41,51,10,C
Jasmin Bejtovic,2353,7,3.0,252,42,50,8,D
Anton Frisk Kockum,2206,6,1.5,259,38,53,15,A
Anton Frisk Kockum,2206,6,1.5,259,36,55,19,C
Anton Frisk Kockum,2206,6,1.5,259,38,53,15,D
Anders Livner,2281,6,4.0,229,34,55,21,A
