Name,Rating,Games,Result,Moves,CPL,MM,Sort Score,Analysis
mipsparc 2008.07.28,1007,1,1,10,78,80,2,A
mipsparc 2008.07.28,1007,1,1,10,65,60,-5,B
lacceroswaldo 2008.07.28,913,1,0,12,213,8,-205,A
lacceroswaldo 2008.07.28,913,1,0,12,240,8,-232,B
bdbailey 2008.07.24,921,1,0,19,302,16,-286,A
bdbailey 2008.07.24,921,1,0,19,291,21,-270,B
TheSexyKid 2008.07.24,1048,1,1,14,380,14,-366,A
TheSexyKid 2008.07.24,1048,1,1,14,296,14,-282,B
Kyobutungi 2008.07.05,1072,1,1,27,116,26,-90,A
Kyobutungi 2008.07.05,1072,1,1,27,116,33,-83,B
tfrio 2008.07.05,836,2,1,40,152,38,-114,A
tfrio 2008.07.05,836,2,1,40,158,38,-120,B
attilanino 2008.07.31,959,1,1,12,74,58,-16,A
attilanino 2008.07.31,959,1,1,12,75,58,-17,B
drstu 2008.07.31,920,1,0,15,251,33,-218,A
drstu 2008.07.31,920,1,0,15,211,33,-178,B
nryan 2008.07.21,977,2,1,30,143,33,-110,A
nryan 2008.07.21,977,2,1,30,124,33,-91,B
NaraShikamaru 2008.07.21,927,1,0,10,293,20,-273,A
NaraShikamaru 2008.07.21,927,1,0,10,270,20,-250,B
lacceroswaldo 2008.06.23,986,11,6,232,169,37,-132,A
lacceroswaldo 2008.06.23,986,11,6,232,166,36,-130,B
mipsparc 2008.06.23,1009,11,5,240,184,33,-151,A
mipsparc 2008.06.23,1009,11,5,240,176,35,-141,B
scygrav 2008.06.15,939,1,1,18,93,33,-60,A
scygrav 2008.06.15,939,1,1,18,94,22,-72,B
sspcleber 2008.06.15,953,1,0,21,116,38,-78,A
sspcleber 2008.06.15,953,1,0,21,119,29,-90,B
DDJ 2008.07.26,978,1,1,6,366,0,-366,A
DDJ 2008.07.26,978,1,1,6,403,0,-403,B
drkris 2008.07.26,991,3,0,37,183,19,-164,A
drkris 2008.07.26,991,3,0,37,182,19,-163,B
Gabimo 2008.07.15,931,1,1,13,152,46,-106,A
Gabimo 2008.07.15,931,1,1,13,141,46,-95,B
mbbane 2008.07.15,949,1,0,11,88,36,-52,A
mbbane 2008.07.15,949,1,0,11,77,36,-41,B
LaurentDelaon 2008.07.09,1087,1,1,9,142,22,-120,A
LaurentDelaon 2008.07.09,1087,1,1,9,130,22,-108,B
Scumm 2008.07.09,894,1,0,9,167,44,-123,A
Scumm 2008.07.09,894,1,0,9,160,33,-127,B
pumpbuster 2008.07.31,1128,1,0.5,40,89,30,-59,A
pumpbuster 2008.07.31,1128,1,0.5,40,87,28,-59,B
isntheaqt 2008.07.31,869,1,0.5,45,209,27,-182,A
isntheaqt 2008.07.31,869,1,0.5,45,212,20,-192,B
NaraShikamaru 2008.07.13,953,2,1.5,28,186,32,-154,A
NaraShikamaru 2008.07.13,953,2,1.5,28,191,25,-166,B
kigger 2008.07.13,938,1,0,7,341,43,-298,A
kigger 2008.07.13,938,1,0,7,336,43,-293,B
mbranimir 2008.07.05,966,1,1,17,91,41,-50,A
mbranimir 2008.07.05,966,1,1,17,107,29,-78,B
sspcleber 2008.07.05,905,1,0,19,190,21,-169,A
sspcleber 2008.07.05,905,1,0,19,198,21,-177,B
VOnegin 2008.06.05,933,1,1,5,118,20,-98,A
VOnegin 2008.06.05,933,1,1,5,79,20,-59,B
KarimNicho 2008.06.05,905,1,0,7,163,14,-149,A
KarimNicho 2008.06.05,905,1,0,7,275,14,-261,B
MalcaReborn 2008.07.25,867,2,0.5,67,134,31,-103,A
MalcaReborn 2008.07.25,867,2,0.5,67,109,34,-75,B
DEDEE 2008.07.25,1111,1,0.5,62,168,29,-139,A
