Name,Rating,Games,Moves,CPL,MM,Sort Score,Analysis
Oleg M Romanishin,2605,3,84,33,57,24,A
Oleg M Romanishin,2605,3,84,34,58,24,B
Oleg M Romanishin,2605,3,84,36,58,22,C
Oleg M Romanishin,2605,3,84,32,57,25,D
Margeir Petursson,2540,1,27,24,70,46,A
Margeir Petursson,2540,1,27,32,56,24,B
Margeir Petursson,2540,1,27,32,59,27,C
Margeir Petursson,2540,1,27,34,56,22,D
Alberto David,2425,1,55,55,47,-8,A
Alberto David,2425,1,54,44,59,15,B
Alberto David,2425,1,54,56,52,-4,C
Alberto David,2425,1,53,56,49,-7,D
Leonid Yudasin,2625,2,72,50,54,4,A
Leonid Yudasin,2625,2,71,51,52,1,B
Leonid Yudasin,2625,2,71,57,51,-6,C
Leonid Yudasin,2625,2,70,52,54,2,D
Ruslan Irzhanov,2430,1,22,35,59,24,A
Ruslan Irzhanov,2430,1,22,25,59,34,B
Ruslan Irzhanov,2430,1,22,23,59,36,C
Ruslan Irzhanov,2430,1,22,25,54,29,D
Julian M Hodgson,2590,1,22,42,54,12,A
Julian M Hodgson,2590,1,22,34,54,20,B
Julian M Hodgson,2590,1,22,28,46,18,C
Julian M Hodgson,2590,1,22,20,54,34,D
Artur Yusupov,2655,4,97,59,44,-15,A
Artur Yusupov,2655,2,37,77,38,-39,B
Artur Yusupov,2655,3,58,58,34,-24,C
Artur Yusupov,2655,4,97,53,46,-7,D
Eugenio Torre,2535,3,90,44,61,17,A
Eugenio Torre,2535,3,90,28,69,41,B
Eugenio Torre,2535,3,90,29,67,38,C
Eugenio Torre,2535,3,90,30,71,41,D
Evgeny Bareev,2675,3,76,19,70,51,A
Evgeny Bareev,2675,3,76,18,71,53,B
Evgeny Bareev,2675,3,76,19,72,53,C
Evgeny Bareev,2675,3,76,22,68,46,D
Giorgi Giorgadze,2565,2,57,66,56,-10,A
Giorgi Giorgadze,2565,2,57,51,51,0,B
Giorgi Giorgadze,2565,2,57,48,54,6,C
Giorgi Giorgadze,2565,2,57,49,53,4,D
Marc Santo-Roman,2420,2,49,62,59,-3,A
Marc Santo-Roman,2420,2,49,49,61,12,B
Marc Santo-Roman,2420,2,49,69,55,-14,C
Marc Santo-Roman,2420,2,49,69,59,-10,D
Viacheslav Dydyshko,2510,2,52,50,40,-10,A
Viacheslav Dydyshko,2510,1,23,23,65,42,B
Viacheslav Dydyshko,2510,2,52,35,48,13,C
Viacheslav Dydyshko,2510,2,52,32,46,14,D
Jacek Gdanski,2505,1,22,46,50,4,A
Jacek Gdanski,2505,1,22,27,46,19,B
Jacek Gdanski,2505,1,22,27,54,27,C
Jacek Gdanski,2505,1,22,25,46,21,D
Yasser Seirawan,2585,1,22,34,54,20,A
Yasser Seirawan,2585,1,22,24,68,44,B
Yasser Seirawan,2585,1,22,27,68,41,C
Yasser Seirawan,2585,1,22,24,73,49,D
Peter Leko,2555,1,22,12,73,61,A
Peter Leko,2555,1,22,18,64,46,B
Peter Leko,2555,1,22,18,77,59,C
Peter Leko,2555,1,22,19,77,58,D
Espen Agdestein,2330,1,36,72,42,-30,A
Espen Agdestein,2330,1,36,57,44,-13,B
Espen Agdestein,2330,1,36,70,44,-26,C
Espen Agdestein,2330,1,35,51,54,3,D
Sune Berg Hansen,2440,1,35,69,43,-26,A
Sune Berg Hansen,2440,1,35,58,46,-12,B
Sune Berg Hansen,2440,1,35,73,43,-30,C
Sune Berg Hansen,2440,1,35,67,43,-24,D
Paul Van Der Sterren,2605,3,104,28,62,34,A
Paul Van Der Sterren,2605,3,104,26,65,39,B
Paul Van Der Sterren,2605,3,104,22,63,41,C
Paul Van Der Sterren,2605,3,104,23,62,39,D
Jon S Speelman,2605,2,75,14,71,57,A
Jon S Speelman,2605,2,75,16,67,51,B
Jon S Speelman,2605,2,75,15,72,57,C
Jon S Speelman,2605,2,75,9,73,64,D
Olav Sepp,2470,1,40,81,40,-41,A
Olav Sepp,2470,1,40,72,38,-34,B
Olav Sepp,2470,1,40,67,35,-32,C
Olav Sepp,2470,1,40,67,40,-27,D
Garry Kasparov,2815,9,251,46,52,6,A
Garry Kasparov,2815,9,249,44,52,8,B
Garry Kasparov,2815,9,247,34,56,22,C
Garry Kasparov,2815,9,247,35,54,19,D
Zurab Azmaiparashvili,2575,4,159,48,50,2,A
Zurab Azmaiparashvili,2575,2,95,31,52,21,B
Zurab Azmaiparashvili,2575,4,159,40,48,8,C
Zurab Azmaiparashvili,2575,4,159,43,52,9,D
Predrag Nikolic,2655,2,66,32,61,29,A
Predrag Nikolic,2655,2,66,26,65,39,B
Predrag Nikolic,2655,2,66,25,62,37,C
Predrag Nikolic,2655,2,66,22,61,39,D
Terry Toh,2300,1,43,42,54,12,A
Terry Toh,2300,1,43,42,44,2,B
Terry Toh,2300,1,43,47,49,2,C
Terry Toh,2300,1,41,57,37,-20,D
Alexey Dreev,2650,2,74,51,47,-4,A
Alexey Dreev,2650,2,74,51,42,-9,B
Alexey Dreev,2650,2,74,47,45,-2,C
Alexey Dreev,2650,2,73,48,42,-6,D
Ivan Sokolov,2625,2,66,29,55,26,A
Ivan Sokolov,2625,2,67,30,58,28,B
Ivan Sokolov,2625,2,66,27,59,32,C
Ivan Sokolov,2625,2,65,32,57,25,D
Vladimir P Malaniuk,2610,2,47,71,47,-24,A
Vladimir P Malaniuk,2610,2,47,70,49,-21,B
Vladimir P Malaniuk,2610,2,47,74,47,-27,C
Vladimir P Malaniuk,2610,2,47,71,47,-24,D
Viktor Korchnoi,2615,1,22,53,59,6,A
Viktor Korchnoi,2615,1,22,77,54,-23,B
Viktor Korchnoi,2615,1,22,71,64,-7,C
Viktor Korchnoi,2615,1,22,76,59,-17,D
Vladislav Tkachiev,2645,2,32,79,47,-32,A
Vladislav Tkachiev,2645,2,32,92,44,-48,B
Vladislav Tkachiev,2645,2,31,59,55,-4,C
Vladislav Tkachiev,2645,2,31,53,55,2,D
Vladimir Akopian,2630,3,99,51,60,9,A
Vladimir Akopian,2630,3,99,46,60,14,B
Vladimir Akopian,2630,3,99,36,61,25,C
Vladimir Akopian,2630,3,99,37,61,24,D
Mihail Marin,2520,3,125,50,56,6,A
Mihail Marin,2520,2,78,38,59,21,B
Mihail Marin,2520,2,78,24,59,35,C
Mihail Marin,2520,3,123,31,56,25,D
Jon L Arnason,2525,2,51,31,61,30,A
Jon L Arnason,2525,1,38,25,63,38,B
Jon L Arnason,2525,2,51,20,71,51,C
Jon L Arnason,2525,2,51,22,69,47,D
Robert Kuczynski,2515,3,100,45,53,8,A
Robert Kuczynski,2515,1,22,64,41,-23,B
Robert Kuczynski,2515,2,58,48,41,-7,C
Robert Kuczynski,2515,3,100,55,44,-11,D
Judit Polgar,2630,7,258,38,59,21,A
Judit Polgar,2630,2,66,32,56,24,C
Judit Polgar,2630,7,258,33,64,31,D
Robert Huebner,2605,1,53,13,68,55,A
Robert Huebner,2605,1,53,13,68,55,B
Robert Huebner,2605,1,53,12,74,62,C
Robert Huebner,2605,1,52,8,69,61,D
Kiril Georgiev,2615,2,95,14,65,51,A
Kiril Georgiev,2615,2,95,12,71,59,B
Kiril Georgiev,2615,2,94,17,69,52,C
Kiril Georgiev,2615,2,93,20,71,51,D
Alexei Shirov,2710,7,189,46,50,4,A
Alexei Shirov,2710,2,30,45,43,-2,B
Alexei Shirov,2710,7,189,34,56,22,C
Alexei Shirov,2710,7,189,32,56,24,D
Lars Bo Hansen,2545,3,86,52,53,1,A
Lars Bo Hansen,2545,2,47,36,51,15,B
Lars Bo Hansen,2545,3,86,35,55,20,C
Lars Bo Hansen,2545,3,84,34,57,23,D
Nigel D Short,2665,3,100,60,49,-11,A
Nigel D Short,2665,3,97,46,53,7,B
Nigel D Short,2665,3,97,51,54,3,C
Nigel D Short,2665,3,97,53,49,-4,D
Johann Hjartarson,2585,3,148,49,51,2,A
Johann Hjartarson,2585,1,55,44,54,10,B
Johann Hjartarson,2585,3,146,35,58,23,C
Johann Hjartarson,2585,3,146,42,57,15,D
