Name,Rating,Games,Moves,CPL,MM,Sort Score,Analysis
Pablo Glavina,2418,7,225,36,57,21,A
Pablo Glavina,2418,7,225,39,54,15,B
Pablo Glavina,2418,7,225,39,54,15,C
Pablo Glavina,2418,7,225,39,56,17,D
Borja Zamarbide Inarrea,2202,8,252,69,41,-28,A
Borja Zamarbide Inarrea,2202,8,252,68,42,-26,B
Borja Zamarbide Inarrea,2202,8,252,70,41,-29,C
Borja Zamarbide Inarrea,2202,8,250,71,42,-29,D
Jesus Javier Cortes Bueno,2314,7,228,39,57,18,A
Jesus Javier Cortes Bueno,2314,7,228,37,55,18,B
Jesus Javier Cortes Bueno,2314,7,228,38,54,16,C
Jesus Javier Cortes Bueno,2314,7,228,39,53,14,D
Antonio Lisarri Tomas,1961,2,35,76,37,-39,A
Antonio Lisarri Tomas,1961,1,19,65,53,-12,B
Antonio Lisarri Tomas,1961,2,35,71,43,-28,C
Antonio Lisarri Tomas,1961,2,35,68,46,-22,D
Jesus Cortes Lizano,2270,8,241,60,47,-13,A
Jesus Cortes Lizano,2270,8,240,57,50,-7,B
Jesus Cortes Lizano,2270,8,239,59,49,-10,C
Jesus Cortes Lizano,2270,8,238,58,51,-7,D
Alejandra Porras Mateo,1875,2,40,142,35,-107,A
Alejandra Porras Mateo,1875,2,40,116,37,-79,B
Alejandra Porras Mateo,1875,2,40,112,45,-67,C
Alejandra Porras Mateo,1875,2,40,116,48,-68,D
Miguel Argaya Urdaniz,2054,3,77,91,38,-53,A
Miguel Argaya Urdaniz,2054,3,72,88,36,-52,B
Miguel Argaya Urdaniz,2054,3,74,105,30,-75,C
Miguel Argaya Urdaniz,2054,3,71,96,30,-66,D
Lluis Oms Fuentes,2327,7,277,46,51,5,A
Lluis Oms Fuentes,2327,6,224,44,54,10,B
Lluis Oms Fuentes,2327,7,266,46,56,10,C
Lluis Oms Fuentes,2327,7,260,45,55,10,D
Tatiana Kononenko,2375,17,573,45,50,5,A
Tatiana Kononenko,2375,17,572,42,49,7,B
Tatiana Kononenko,2375,17,569,41,50,9,C
Tatiana Kononenko,2375,17,570,42,51,9,D
Fernando Lopez Gracia,2348,7,133,47,52,5,A
Fernando Lopez Gracia,2348,2,26,29,58,29,B
Fernando Lopez Gracia,2348,7,133,44,54,10,C
Fernando Lopez Gracia,2348,7,133,47,56,9,D
David Monell Camarasa,2212,9,328,41,52,11,A
David Monell Camarasa,2212,3,91,36,49,13,B
David Monell Camarasa,2212,9,327,39,55,16,C
David Monell Camarasa,2212,9,327,38,54,16,D
