Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Emanuel Berg,2535,8,6,260,27,64,37,Level D
2,Sergey Ivanov,2561,9,6,360,30,62,32,Level D
3,Johan Furhoff,2302,7,3,244,31,62,31,Level D
4,Artur Yusupov,2592,9,7,229,28,58,30,Level D
5,Stellan Brynell,2524,8,5.5,250,25,55,30,Level D
6,Rune Djurhuus,2479,8,5.5,330,30,58,28,Level D
7,Jonas Barkhagen,2458,8,6.5,223,28,56,28,Level D
8,Mikhail Ulibin,2581,9,5.5,262,35,62,27,Level D
9,Jacob Aagaard,2355,5,2.5,135,33,59,26,Level D
10,Evgeny Gleizerov,2579,9,6.5,232,40,65,25,Level D
11,Oliver Brendel,2375,5,3.5,152,36,61,25,Level D
12,Axel Ornstein,2426,7,4,248,31,56,25,Level D
13,Valerij Popov,2568,7,4.5,229,31,54,23,Level D
14,Emil Hermansson,2370,9,5,322,30,53,23,Level D
15,Tom Wedberg,2530,9,7,226,30,53,23,Level D
16,Juan Manuel Bellon Lopez,2428,8,5.5,323,36,58,22,Level D
17,Thomas Ernst,2450,8,4.5,353,29,51,22,Level D
18,Mikael Naslund,2310,2,1,35,43,63,20,Level C
19,Mika Karttunen,2413,6,3.5,136,33,53,20,Level D
20,Heikki Lehtinen,2332,7,3.5,222,33,53,20,Level D
21,Eric Lobron,2500,9,5,294,37,56,19,Level D
22,Jonas Lundvik,2270,3,0.5,154,40,58,18,Level D
23,Henrik Lindberg,2218,2,0.5,57,44,61,17,Level D
24,Harriet V Hunt,2389,5,4,201,37,54,17,Level D
25,Kezli Ong,2171,2,0.5,92,31,48,17,Level C
26,Kristian Trygstad,2299,6,3,212,41,57,16,Level D
27,Tomi Nyback,2458,7,5,236,46,61,15,Level D
28,Joseph G. Gallagher,2526,8,5,247,40,55,15,Level D
29,Ekaterina Kovalevskaya,2452,8,6.5,193,39,54,15,Level C
30,Peder Berkell,2310,3,1,98,40,53,13,Level C
31,Alain Spielmann,2308,6,2.5,196,40,53,13,Level D
32,Ivo Timmermans,2178,3,0.5,80,42,54,12,Level D
33,Irina Tetenkina,2292,7,3.5,239,37,49,12,Level C
34,Hannes Stefansson,2566,6,4,147,47,58,11,Level D
35,Bengt Lindberg,2382,8,4.5,276,42,53,11,Level C
36,Kevin Ong,2076,1,0,46,44,54,10,Level D
37,Rodrigo Vasquez Schroeder,2481,8,5,320,38,48,10,Level C
38,Oskar Von Bahr,2320,7,3.5,176,48,56,8,Level D
39,Florian Handke,2504,8,5,253,47,55,8,Level D
40,Teodor Hellborg,2240,4,1.5,139,45,53,8,Level D
41,Tommi Luukkonen,2081,3,1,86,44,52,8,Level C
42,Pia Cramling,2508,7,4,298,42,50,8,Level C
43,Janne Mertanen,2241,4,1.5,131,45,52,7,Level C
44,Ralf Akesson,2440,8,4.5,265,45,52,7,Level C
45,Luis Couso,2355,3,1,99,53,57,4,Level D
46,Viktoria Johansson,2142,4,1.5,131,45,49,4,Level C
47,Mark E Taimanov,2406,6,3,162,44,47,3,Level D
48,Jens Ove Fries-Nielsen,2444,7,4,209,45,47,2,Level B
49,Viktoria Bashkite,2138,1,0,37,48,49,1,Level C
50,Olli Sisatto,2207,1,0,24,45,46,1,Level C
51,Rikard Andersson,2175,2,0,60,56,50,-6,Level D
52,Erik Alquist,2106,1,0,27,64,56,-8,Level D
53,Kim Nygren,2202,5,1,150,62,53,-9,Level D
54,Niklas Hedlund,2037,1,0,16,66,56,-10,Level C
55,Terje Johansen,2267,4,1.5,129,59,49,-10,Level C
56,Andreas Landgren,2164,4,0,93,63,52,-11,Level D
57,Gustavo Luna,2143,1,0,53,54,43,-11,Level D
58,Sampsa Nyysti,2445,5,2,127,54,41,-13,Level B
59,Kalle Kiik,2445,5,3,174,54,40,-14,Level B
60,Peter Bjarnehag,2197,2,0,40,55,40,-15,Level B
61,Lars Persson,2108,2,0.5,41,70,54,-16,Level D
62,Robin Edlund,2174,1,0,31,55,39,-16,Level D
63,Magnus Holm,2247,1,0,30,76,57,-19,Level D
64,Anders Loven,2151,1,0,17,66,47,-19,Level D
65,Tatiana Shumiakina,2364,6,2.5,202,60,41,-19,Level D
66,Johan Norberg,2153,3,0,116,66,45,-21,Level C
67,Felix Nordstrom,2176,2,0.5,39,68,46,-22,Level C
68,Per Isaksson,2106,1,0,23,75,48,-27,Level B
69,Jacob Henriksson,2161,2,0.5,38,72,39,-33,Level C
70,Erik Norberg,2166,1,0,27,82,48,-34,Level B
71,Stefan Winge,2262,5,2,118,84,48,-36,Level B
72,Lennart Evertsson,2226,2,0,80,79,43,-36,Level D
73,Mikael Jonsson,2290,1,0,45,89,51,-38,Level D
74,Jan Peter Palmblad,2187,2,0,77,77,39,-38,Level B
75,Armin Namini,2114,1,0,30,83,43,-40,Level C
76,Haroon Azizi,2126,2,1,45,89,42,-47,Level C
77,Erik Hedman,2336,1,0,21,117,67,-50,Level D
78,Jesper Celander,2180,2,0,51,89,39,-50,Level C
79,Josef Ask,2128,2,0,52,89,37,-52,Level C
80,Anneli Dalmau,2089,2,0,40,102,47,-55,Level C
81,Peter Carlsten,2159,2,0,53,87,25,-62,Level C
82,Tobias Lonngren,2122,1,0,18,100,33,-67,Level D
83,Hakan Hansson,2163,1,0,25,113,44,-69,Level D
84,Juan Dalmau,2059,1,0,21,93,19,-74,Level C
85,Maxim Kulagin,2032,2,0,34,108,32,-76,Level D
86,Ralph Hallerod,2105,2,0,44,116,34,-82,Level B
87,Ragnar Nystrom,2123,1,0,17,125,24,-101,Level D
