Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Miklos Orso,2375,2,1.5,27,25,81,56,Level C
2,Olaf Sponheim,2310,1,0.5,13,14,69,55,Level D
3,Sandor Orgovan,2310,2,0.5,53,25,75,50,Level D
4,Ervin Nagy,2340,2,1,38,17,66,49,Level D
5,Elmar Magerramov,2470,2,1.5,66,25,70,45,Level D
6,Jerzy Bany,2390,3,2,103,21,65,44,Level D
7,Franz Hoelzl,2350,3,1.5,85,26,69,43,Level D
8,Csaba Horvath,2445,3,2.5,111,24,67,43,Level D
9,Peter Szilagyi,2445,1,1,37,23,65,42,Level C
10,Alexander Kochyev,2465,3,2,37,23,65,42,Level C
11,Mirko Jukic,2470,2,1.5,51,21,63,42,Level D
12,Klaus-Juergen Schulz,2440,1,0.5,38,20,61,41,Level D
13,Lothar Vogt,2510,3,2,83,28,66,38,Level D
14,Peter Enders,2495,3,2.5,88,23,61,38,Level D
15,Adrian Mihalcisin,2480,8,5,133,25,62,37,Level D
16,Mikhail Gurevich,2625,7,6.5,291,26,62,36,Level D
17,Bruno Belotti,2365,1,0,38,27,61,34,Level D
18,Ladislav Dobrovolsky,2400,2,1.5,82,29,62,33,Level D
19,Branko Rogulj,2420,2,1,40,27,60,33,Level D
20,Juergen Schettler,2245,1,1,27,31,63,32,Level C
21,Matthias Dorner,2295,2,1,82,22,54,32,Level D
22,Helmut Reefschlaeger,2335,5,3.5,91,34,65,31,Level D
23,Tibor Fogarasi,2260,3,2,83,28,59,31,Level D
24,Alberto David,2365,1,0.5,15,30,60,30,Level B
25,Sandor Farago,2265,1,0.5,15,31,60,29,Level C
26,Michael Tseitlin,2460,2,0.5,71,30,59,29,Level D
27,Michal Krasenkow,2525,3,2.5,110,28,57,29,Level D
28,Vlatko Bogdanovski,2430,2,1.5,53,26,55,29,Level D
29,Jozsef Horvath,2475,3,1.5,102,33,61,28,Level D
30,Martin Haag,2405,3,1.5,88,30,58,28,Level D
31,Gabor Kallai,2400,2,1.5,89,28,55,27,Level D
32,Joerg Pape,2370,1,0.5,30,31,57,26,Level C
33,Slobodan D Radosavljevic,2280,4,2.5,79,36,61,25,Level D
34,Josef Pribyl,2415,3,2,117,35,60,25,Level D
35,Gerardo F Barbero,2520,6,4,245,35,60,25,Level D
36,Oswald Gschnitzer,2410,1,0,38,30,55,25,Level D
37,Imre Varasdy,2350,3,1,95,32,55,23,Level D
38,Alexander Huzman,2490,4,3.5,109,31,54,23,Level D
39,Tibor Tolnai,2480,8,4.5,259,32,54,22,Level D
40,IossifD Dorfman,2540,2,1.5,35,42,63,21,Level C
41,Herbert Zoebisch,2240,4,1.5,128,41,62,21,Level D
42,Frank Hegeler,2225,1,0.5,14,36,57,21,Level B
43,Jozsef M Horvath,2215,2,1,38,34,55,21,Level D
44,Ivan Farago,2495,3,2.5,86,40,60,20,Level D
45,Soenke Maus,2385,3,0,92,39,59,20,Level D
46,Tamas I Horvath,2230,2,1,72,37,56,19,Level D
47,Herbert Elstner,2235,2,0.5,85,34,53,19,Level C
48,Lutz Espig,2440,5,2,221,30,49,19,Level D
49,Zoltan Nemeth,2350,3,1.5,89,35,53,18,Level D
50,Andromico Yap,2400,5,2.5,188,44,61,17,Level D
51,Oleg L Chernikov,2460,2,1,50,44,60,16,Level D
52,Laszlo Pacsay,2265,5,3.5,145,43,59,16,Level D
53,Alfred Beni,2220,1,0.5,39,35,51,16,Level D
54,Srdjan Marangunic,2445,3,2,133,35,50,15,Level C
55,Olaf Mueller,2315,2,0,64,35,50,15,Level D
56,Ildiko Madl,2380,5,3.5,181,46,60,14,Level D
57,Attila Vanczak,2260,1,1,16,42,56,14,Level C
58,Joaquin Carlos Diaz Diaz,2375,2,0.5,91,46,59,13,Level D
59,Attila Groszpeter,2500,3,1,102,48,60,12,Level D
60,Pal Petran,2420,4,2,97,41,53,12,Level D
61,Vladimir Okhotnik,2435,1,0,53,39,51,12,Level D
62,Jan Plachetka,2440,5,3.5,195,36,48,12,Level C
63,Guenther Moehring,,2,0,59,43,54,11,Level D
64,Peter Petran,2435,2,1.5,68,39,50,11,Level C
65,Raj Tischbierek,2500,4,3,107,38,49,11,Level C
66,Nukhim N Rashkovsky,2490,5,4,148,37,48,11,Level C
67,Kari Nieminen,2260,1,0,28,47,57,10,Level C
68,Eduard Szirmai,2260,2,1,59,36,46,10,Level C
69,Hannu Wegner,2320,4,1.5,106,48,57,9,Level D
70,Stefano Tatai,2475,1,0,37,48,57,9,Level C
71,Heiner Matthias,2230,1,0,31,46,55,9,Level C
72,Petri Kekki,2230,1,0,40,44,53,9,Level C
73,Laszlo Zsinka,2350,2,0.5,65,43,51,8,Level C
74,Emil Szalanczy,2400,10,5.5,324,45,52,7,Level D
75,Zoltan Varga,2350,2,1,50,50,56,6,Level D
76,Ervin Haag,2380,1,0,22,49,55,6,Level C
77,Uwe Boensch,2535,3,2.5,97,47,53,6,Level C
78,Alex Avshalumov,2415,2,2,48,62,67,5,Level D
79,Laszlo Barczay,2410,5,3.5,131,51,56,5,Level D
80,Jerzy Pokojowczyk,2380,4,1,150,47,52,5,Level D
81,Vaszilisz Metaxasz,2210,2,0.5,49,46,51,5,Level C
82,Volker Meier,2295,2,0.5,63,41,46,5,Level C
83,Ulrich Roemer,2300,1,1,27,52,56,4,Level D
84,Zsigmond Olah,2285,1,1,32,43,47,4,Level C
85,Rainer Knaak,2515,5,2.5,224,49,52,3,Level D
86,Juergen Graf,2310,2,0,68,44,47,3,Level C
87,Gernot Gauglitz,2430,8,4,256,50,52,2,Level C
88,Dejan Antic,2345,4,2.5,148,46,48,2,Level D
89,Srdjan Cvetkovic,2360,4,3,97,56,57,1,Level D
90,Martin Bastian,2265,1,0.5,17,52,53,1,Level B
91,Nigel R Davies,2355,4,2.5,138,55,55,0,Level D
92,Attila Kiss,2375,4,1,101,49,49,0,Level C
93,Zlatko Ilincic,2445,4,0.5,169,55,54,-1,Level D
94,Marc Weber,2300,2,1,65,51,49,-2,Level C
95,Gyula Horvath,2440,2,0.5,96,46,44,-2,Level C
96,Gyula Sax,2565,2,2,63,52,49,-3,Level C
97,Risto Lehtivaara,2280,2,0.5,62,56,52,-4,Level C
98,Mikko Kivisto,2295,2,0,30,54,50,-4,Level C
99,Miguel Andres,2410,2,1.5,47,50,45,-5,Level C
100,Karel Mokry,2490,1,0,40,45,40,-5,Level D
101,Matthias Roeder,2330,3,0.5,63,57,51,-6,Level C
102,Bela Perenyi,2370,5,2.5,130,54,48,-6,Level C
103,Andras Meszaros,2380,2,0,114,52,46,-6,Level B
104,Zoltan Vancsura,2295,2,0.5,71,61,53,-8,Level C
105,Stuart Wagman,2230,4,1.5,86,60,52,-8,Level C
