Name,Rating,Games,Result,Moves,CPL,MM,Sort Score,Analysis
Terje Johansen,2267,4,1.5,129,49,55,6,A
Terje Johansen,2267,4,1.5,129,57,52,-5,B
Terje Johansen,2267,4,1.5,129,59,50,-9,C
Terje Johansen,2267,4,1.5,129,57,49,-8,D
Rune Djurhuus,2479,8,5.5,330,33,56,23,A
Rune Djurhuus,2479,8,5.5,330,30,58,28,B
Rune Djurhuus,2479,8,5.5,330,28,58,30,C
Rune Djurhuus,2479,8,5.5,330,30,58,28,D
Bengt Lindberg,2382,8,4.5,276,52,49,-3,A
Bengt Lindberg,2382,8,4.5,276,47,53,6,B
Bengt Lindberg,2382,8,4.5,276,43,52,9,C
Bengt Lindberg,2382,8,4.5,276,43,51,8,D
Mikhail Ulibin,2581,9,5.5,262,42,60,18,A
Mikhail Ulibin,2581,9,5.5,262,39,61,22,B
Mikhail Ulibin,2581,9,5.5,262,40,61,21,C
Mikhail Ulibin,2581,9,5.5,262,35,62,27,D
Rikard Andersson,2175,2,0,60,63,50,-13,A
Rikard Andersson,2175,2,0,60,65,48,-17,C
Rikard Andersson,2175,2,0,60,56,50,-6,D
Oskar Von Bahr,2320,7,3.5,176,53,58,5,A
Oskar Von Bahr,2320,7,3.5,176,51,55,4,B
Oskar Von Bahr,2320,7,3.5,176,56,54,-2,C
Oskar Von Bahr,2320,7,3.5,176,48,56,8,D
Kim Nygren,2202,5,1,150,71,47,-24,A
Kim Nygren,2202,5,1,150,62,53,-9,D
Evgeny Gleizerov,2579,9,6.5,232,44,58,14,A
Evgeny Gleizerov,2579,9,6.5,232,38,63,25,B
Evgeny Gleizerov,2579,9,6.5,232,38,64,26,C
Evgeny Gleizerov,2579,9,6.5,232,40,65,25,D
Sampsa Nyysti,2445,5,2,127,52,42,-10,A
Sampsa Nyysti,2445,5,2,127,55,43,-12,C
Sampsa Nyysti,2445,5,2,127,52,41,-11,D
Erik Norberg,2166,1,0,27,80,48,-32,A
Erik Norberg,2166,1,0,27,82,48,-34,B
Erik Norberg,2166,1,0,27,82,48,-34,C
Erik Norberg,2166,1,0,27,85,48,-37,D
Ivo Timmermans,2178,3,0.5,80,43,54,11,A
Ivo Timmermans,2178,3,0.5,80,42,58,16,C
Ivo Timmermans,2178,3,0.5,80,42,54,12,D
Sergey Ivanov,2561,9,6,360,33,59,26,A
Sergey Ivanov,2561,9,6,360,30,62,32,D
Tatiana Shumiakina,2364,6,2.5,202,70,35,-35,A
Tatiana Shumiakina,2364,6,2.5,202,60,41,-19,D
Kristian Trygstad,2299,6,3,212,44,57,13,A
Kristian Trygstad,2299,6,3,212,41,57,16,D
Jonas Barkhagen,2458,8,6.5,223,35,57,22,A
Jonas Barkhagen,2458,8,6.5,223,27,61,34,C
Jonas Barkhagen,2458,8,6.5,223,28,56,28,D
Johan Furhoff,2302,7,3,244,43,52,9,A
Johan Furhoff,2302,7,3,244,36,57,21,C
Johan Furhoff,2302,7,3,244,31,62,31,D
Stefan Winge,2262,5,2,118,81,48,-33,A
Stefan Winge,2262,5,2,118,83,47,-36,D
Ralph Hallerod,2105,2,0,44,109,34,-75,A
Ralph Hallerod,2105,2,0,44,120,30,-90,B
Ralph Hallerod,2105,2,0,44,112,30,-82,C
Ralph Hallerod,2105,2,0,44,116,36,-80,D
Rodrigo Vasquez Schroeder,2481,8,5,320,44,49,5,A
Rodrigo Vasquez Schroeder,2481,8,5,320,37,49,12,D
Joseph G. Gallagher,2526,8,5,247,44,54,10,A
Joseph G. Gallagher,2526,8,5,247,41,58,17,C
Joseph G. Gallagher,2526,8,5,247,40,55,15,D
Emil Hermansson,2370,9,5,322,31,54,23,A
Emil Hermansson,2370,9,5,322,30,53,23,D
Stellan Brynell,2524,8,5.5,250,26,56,30,A
Stellan Brynell,2524,8,5.5,250,25,55,30,D
Oliver Brendel,2375,5,3.5,152,46,60,14,A
Oliver Brendel,2375,5,3.5,152,35,59,24,C
Oliver Brendel,2375,5,3.5,152,36,61,25,D
Andreas Landgren,2164,4,0,93,83,45,-38,A
Andreas Landgren,2164,4,0,93,66,57,-9,C
Andreas Landgren,2164,4,0,93,63,52,-11,D
Jacob Aagaard,2355,5,2.5,135,35,56,21,A
Jacob Aagaard,2355,5,2.5,135,33,59,26,D
Josef Ask,2128,2,0,50,108,38,-70,A
Josef Ask,2128,2,0,50,80,36,-44,D
Janne Mertanen,2241,4,1.5,131,53,50,-3,A
Janne Mertanen,2241,4,1.5,131,46,52,6,D
Ralf Akesson,2440,8,4.5,263,51,51,0,A
Ralf Akesson,2440,8,4.5,263,44,49,5,D
Pia Cramling,2508,7,4,298,50,48,-2,A
Pia Cramling,2508,7,4,298,43,50,7,D
Jens Ove Fries-Nielsen,2444,7,4,209,46,47,1,A
Jens Ove Fries-Nielsen,2444,7,4,209,45,47,2,D
Florian Handke,2504,8,5,253,51,52,1,A
Florian Handke,2504,8,5,253,44,58,14,C
Florian Handke,2504,8,5,253,47,55,8,D
Axel Ornstein,2426,7,4,248,33,54,21,A
Axel Ornstein,2426,7,4,248,28,57,29,C
Axel Ornstein,2426,7,4,248,31,56,25,D
Juan Manuel Bellon Lopez,2428,8,5.5,323,43,54,11,A
Juan Manuel Bellon Lopez,2428,8,5.5,323,35,59,24,C
Juan Manuel Bellon Lopez,2428,8,5.5,323,36,58,22,D
Peder Berkell,2310,3,1,98,31,55,24,A
Peder Berkell,2310,3,1,98,37,53,16,C
Peder Berkell,2310,3,1,98,38,54,16,D
Felix Nordstrom,2176,2,0.5,39,79,36,-43,A
Felix Nordstrom,2176,2,0.5,39,71,46,-25,C
Felix Nordstrom,2176,2,0.5,39,64,49,-15,D
Kalle Kiik,2445,5,3,174,53,47,-6,A
Kalle Kiik,2445,5,3,174,55,40,-15,C
Kalle Kiik,2445,5,3,174,51,43,-8,D
Peter Bjarnehag,2197,2,0,40,54,40,-14,A
Peter Bjarnehag,2197,2,0,40,57,40,-17,B
Peter Bjarnehag,2197,2,0,40,47,43,-4,C
Peter Bjarnehag,2197,2,0,40,47,40,-7,D
Artur Yusupov,2592,9,7,229,34,58,24,A
Artur Yusupov,2592,9,7,229,26,58,32,C
Artur Yusupov,2592,9,7,229,28,58,30,D
Luis Couso,2355,3,1,99,62,58,-4,A
Luis Couso,2355,3,1,99,53,54,1,C
Luis Couso,2355,3,1,99,53,57,4,D
Harriet V Hunt,2389,5,4,201,42,54,12,A
Harriet V Hunt,2389,5,4,201,37,54,17,D
Haroon Azizi,2126,2,1,43,95,35,-60,A
Haroon Azizi,2126,2,1,43,86,46,-40,D
Thomas Ernst,2450,8,4.5,353,34,49,15,A
Thomas Ernst,2450,8,4.5,353,29,51,22,D
Mikael Naslund,2310,2,1,35,29,63,34,A
Mikael Naslund,2310,2,1,35,37,69,32,B
Mikael Naslund,2310,2,1,35,36,69,33,C
Mikael Naslund,2310,2,1,35,41,60,19,D
Erik Alquist,2106,1,0,27,84,63,-21,A
Erik Alquist,2106,1,0,27,57,56,-1,C
Erik Alquist,2106,1,0,27,64,56,-8,D
Mika Karttunen,2413,6,3.5,136,31,53,22,A
Mika Karttunen,2413,6,3.5,136,33,53,20,D
Juan Dalmau,2059,1,0,20,114,25,-89,A
Juan Dalmau,2059,1,0,20,98,20,-78,C
Juan Dalmau,2059,1,0,20,107,20,-87,D
Irina Tetenkina,2292,7,3.5,239,34,49,15,A
Irina Tetenkina,2292,7,3.5,239,38,48,10,D
Eric Lobron,2500,9,5,294,41,51,10,A
Eric Lobron,2500,9,5,294,37,56,19,D
Ekaterina Kovalevskaya,2452,8,6.5,193,41,53,12,A
Ekaterina Kovalevskaya,2452,8,6.5,193,40,53,13,D
Tom Wedberg,2530,9,7,226,41,57,16,A
Tom Wedberg,2530,9,7,226,30,53,23,D
Mark E Taimanov,2406,6,3,162,50,49,-1,A
Mark E Taimanov,2406,6,3,162,44,47,3,D
Jonas Lundvik,2270,3,0.5,154,43,51,8,A
Jonas Lundvik,2270,3,0.5,154,40,58,18,D
Viktoria Johansson,2142,4,1.5,131,56,47,-9,A
Viktoria Johansson,2142,4,1.5,131,45,50,5,C
Viktoria Johansson,2142,4,1.5,131,47,50,3,D
Tomi Nyback,2458,7,5,236,52,60,8,A
Tomi Nyback,2458,7,5,236,48,61,13,C
Tomi Nyback,2458,7,5,236,46,61,15,D
Hannes Stefansson,2566,6,4,147,44,59,15,A
Hannes Stefansson,2566,6,4,147,47,58,11,D
Peter Carlsten,2159,2,0,53,90,34,-56,A
Peter Carlsten,2159,2,0,53,84,26,-58,D
Lars Persson,2108,2,0.5,41,78,51,-27,A
Lars Persson,2108,2,0.5,41,78,49,-29,C
Lars Persson,2108,2,0.5,41,70,54,-16,D
Lennart Evertsson,2226,2,0,80,92,43,-49,A
Lennart Evertsson,2226,2,0,80,87,41,-46,B
Lennart Evertsson,2226,2,0,80,82,46,-36,C
Lennart Evertsson,2226,2,0,80,79,43,-36,D
Heikki Lehtinen,2332,7,3.5,222,33,53,20,A
Heikki Lehtinen,2332,7,3.5,222,33,53,20,D
Henrik Lindberg,2218,2,0.5,57,48,53,5,A
Henrik Lindberg,2218,2,0.5,57,42,60,18,C
Henrik Lindberg,2218,2,0.5,57,44,61,17,D
Valerij Popov,2568,7,4.5,229,37,55,18,A
Valerij Popov,2568,7,4.5,229,33,55,22,C
Valerij Popov,2568,7,4.5,229,31,54,23,D
Maxim Kulagin,2032,2,0,34,108,32,-76,A
Maxim Kulagin,2032,2,0,34,108,32,-76,D
Niklas Hedlund,2037,1,0,16,55,50,-5,A
Niklas Hedlund,2037,1,0,16,66,56,-10,C
Niklas Hedlund,2037,1,0,16,65,56,-9,D
Jacob Henriksson,2161,2,0.5,38,69,53,-16,A
Jacob Henriksson,2161,2,0.5,38,71,42,-29,D
Kezli Ong,2171,2,0.5,92,39,50,11,A
Kezli Ong,2171,2,0.5,92,30,47,17,D
Emanuel Berg,2535,8,6,260,28,65,37,A
Emanuel Berg,2535,8,6,260,24,66,42,C
Emanuel Berg,2535,8,6,260,27,64,37,D
Teodor Hellborg,2240,4,1.5,139,46,52,6,A
Teodor Hellborg,2240,4,1.5,139,46,56,10,C
Teodor Hellborg,2240,4,1.5,139,45,53,8,D
Erik Hedman,2336,1,0,21,112,48,-64,A
Erik Hedman,2336,1,0,21,117,67,-50,D
Alain Spielmann,2308,6,2.5,196,49,53,4,A
Alain Spielmann,2308,6,2.5,196,42,54,12,C
Alain Spielmann,2308,6,2.5,196,40,53,13,D
Mikael Jonsson,2290,1,0,45,96,47,-49,A
Mikael Jonsson,2290,1,0,45,89,51,-38,D
Johan Norberg,2153,3,0,115,61,50,-11,A
Johan Norberg,2153,3,0,115,74,43,-31,C
Johan Norberg,2153,3,0,115,69,45,-24,D
Viktoria Bashkite,2138,1,0,37,52,35,-17,A
Viktoria Bashkite,2138,1,0,37,53,38,-15,B
Viktoria Bashkite,2138,1,0,37,48,49,1,C
Viktoria Bashkite,2138,1,0,37,55,38,-17,D
Gustavo Luna,2143,1,0,53,38,57,19,A
Gustavo Luna,2143,1,0,53,41,53,12,B
Gustavo Luna,2143,1,0,53,49,42,-7,C
Gustavo Luna,2143,1,0,53,54,43,-11,D
Anneli Dalmau,2089,2,0,41,108,49,-59,A
Anneli Dalmau,2089,2,0,41,98,51,-47,D
Ragnar Nystrom,2123,1,0,17,136,29,-107,A
Ragnar Nystrom,2123,1,0,17,104,29,-75,C
Ragnar Nystrom,2123,1,0,17,125,24,-101,D
Jan Peter Palmblad,2187,2,0,75,62,40,-22,A
Jan Peter Palmblad,2187,2,0,75,79,41,-38,C
Jan Peter Palmblad,2187,2,0,75,65,47,-18,D
Hakan Hansson,2163,1,0,25,125,32,-93,A
Hakan Hansson,2163,1,0,25,113,44,-69,D
Tobias Lonngren,2122,1,0,18,73,33,-40,A
