Name,Rating,Games,Moves,CPL,MM,Sort Score,Analysis
Michael B. Madsen,2011,1,8,96,50,-46,A
Michael B. Madsen,2011,1,8,111,50,-61,C
Michael B. Madsen,2011,1,8,102,50,-52,D
Evgeniy Najer,2606,1,9,15,78,63,B
Love Janse,2152,1,13,151,38,-113,D
Jan Plachetka,2420,1,13,153,38,-115,A
Jan Plachetka,2420,1,13,139,31,-108,C
Jan Plachetka,2420,1,13,122,38,-84,D
Love Janse,2152,1,14,162,36,-126,A
Anders Larsson,2257,1,14,22,71,49,B
Utut Adianto,2520,1,14,33,50,17,A
Utut Adianto,2520,1,14,28,71,43,B
Utut Adianto,2520,1,14,33,64,31,C
Utut Adianto,2520,1,14,43,64,21,D
Felix Nordstrom,2176,1,15,138,27,-111,B
Anneli Dalmau,2089,1,15,191,40,-151,B
Anneli Dalmau,2089,1,15,191,33,-158,C
Andreas Landgren,2164,1,16,80,50,-30,B
Haroon Azizi,2126,1,16,78,44,-34,B
Haroon Azizi,2126,1,16,75,38,-37,C
Niklas Hedlund,2037,1,16,55,50,-5,A
Niklas Hedlund,2037,1,16,66,56,-10,C
Niklas Hedlund,2037,1,16,65,56,-9,D
Vladimir Burmakin,2571,1,16,38,56,18,B
Oliver Brendel,2375,1,17,24,59,35,B
Ragnar Nystrom,2123,1,17,136,29,-107,A
Ragnar Nystrom,2123,1,17,104,29,-75,C
Ragnar Nystrom,2123,1,17,125,24,-101,D
Anders Loven,2151,1,17,71,47,-24,A
Anders Loven,2151,1,17,66,47,-19,D
Lucas Wickstrom,2115,1,17,84,53,-31,A
Lucas Wickstrom,2115,1,17,71,47,-24,C
Sergei Iskusnyh,2507,1,17,54,41,-13,B
Andrei Sokolov,2605,1,17,64,41,-23,A
Andrei Sokolov,2605,1,17,55,41,-14,B
Andrei Sokolov,2605,1,17,40,53,13,C
Andrei Sokolov,2605,1,17,40,41,1,D
Sergey Zagrebelny,2515,1,17,62,35,-27,A
Sergey Zagrebelny,2515,1,17,53,35,-18,B
Sergey Zagrebelny,2515,1,17,44,41,-3,C
Sergey Zagrebelny,2515,1,17,38,41,3,D
Vlastimil Babula,2515,1,17,102,53,-49,A
Vlastimil Babula,2515,1,17,78,53,-25,B
Vlastimil Babula,2515,1,17,86,53,-33,C
Vlastimil Babula,2515,1,17,68,53,-15,D
Tobias Lonngren,2122,1,18,100,33,-67,D
Lucas Wickstrom,2115,1,18,125,39,-86,D
John T. H. Van Der Wiel,2555,1,18,51,67,16,B
Loek Van Wely,2560,1,18,23,72,49,A
Loek Van Wely,2560,1,18,31,56,25,C
Loek Van Wely,2560,1,18,24,61,37,D
Inigo Argandona Riveiro,2396,1,18,46,44,-2,B
Joan Escofet Llongueras,1906,1,18,89,28,-61,A
Joan Escofet Llongueras,1906,1,18,115,28,-87,B
Joan Escofet Llongueras,1906,1,18,106,28,-78,C
Joan Escofet Llongueras,1906,1,18,109,33,-76,D
Thomas Ernst,2450,1,19,26,58,32,B
Tom Wedberg,2530,1,19,27,68,41,B
Tobias Lonngren,2122,1,19,69,32,-37,A
Antonio Lisarri Tomas,1961,1,19,65,53,-12,B
Kiko Sanchez Salazar,1906,1,19,108,37,-71,A
Kiko Sanchez Salazar,1906,1,19,92,32,-60,B
Kiko Sanchez Salazar,1906,1,19,100,32,-68,C
Kiko Sanchez Salazar,1906,1,19,104,32,-72,D
Diego Moral Barragan,1863,1,19,55,47,-8,A
Diego Moral Barragan,1863,1,19,53,47,-6,D
Ivo Timmermans,2178,1,20,29,75,46,B
Juan Dalmau,2059,1,20,107,20,-87,D
Santul Kosmo,2262,1,20,70,30,-40,A
Santul Kosmo,2262,1,20,75,25,-50,C
